reaction,origin,rule
R02580,map_rn2ko_viaEC_1minus,frozenset({'K00069'})
R02597,map_rn2ko_viaEC_1minus,frozenset({'K01097'})
R02615,map_rn2ko_viaEC_1minus,frozenset({'K18312'})
R02616,map_rn2ko_viaEC_1minus,frozenset({'K00633'})
R02620,map_rn2ko_viaEC_1minus,frozenset({'K03400'})
R02643,map_rn2ko_viaEC_1minus,frozenset({'K16051'})
R02652,map_rn2ko_viaEC_1minus,frozenset({'K01787'})
R02654,map_rn2ko_viaEC_1minus,frozenset({'K03857'})
R02683,map_rn2ko_viaEC_1minus,frozenset({'K00069'})
R02684,map_rn2ko_viaEC_1minus,frozenset({'K04119'})
R02707,map_rn2ko_viaEC_1minus,frozenset({'K01791'})
R02716,map_rn2ko_viaEC_1minus,frozenset({'K22709'})
R02717,map_rn2ko_viaEC_1minus,frozenset({'K22710'})
R02724,map_rn2ko_viaEC_1minus,frozenset({'K00498'})
R02758,map_rn2ko_viaEC_1minus,frozenset({'K09881'})
R02769,map_rn2ko_viaEC_1minus,frozenset({'K05304'})
R02790,map_rn2ko_viaEC_1minus,frozenset({'K00742'})
R02792,map_rn2ko_viaEC_1minus,frozenset({'K00076'})
R02807,map_rn2ko_viaEC_1minus,frozenset({'K00520'})
R02808,map_rn2ko_viaEC_1minus,frozenset({'K00562'})
R02809,map_rn2ko_viaEC_1minus,frozenset({'K16949'})
R02810,map_rn2ko_viaEC_1minus,frozenset({'K00431'})
R02813,map_rn2ko_viaEC_1minus,frozenset({'K10254'})
R02819,map_rn2ko_viaEC_1minus,frozenset({'K00011'})
R02820,map_rn2ko_viaEC_1minus,frozenset({'K00011'})
R02848,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R02849,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R02850,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R02857,map_rn2ko_viaEC_1minus,frozenset({'K01561'})
R02865,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R02867,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R02868,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R02877,map_rn2ko_viaEC_1minus,frozenset({'K20153'})
R02879,map_rn2ko_viaEC_1minus,frozenset({'K00496'})
R02882,map_rn2ko_viaEC_1minus,frozenset({'K21550'})
R02898,map_rn2ko_viaEC_1minus,frozenset({'K01859'})
R02901,map_rn2ko_viaEC_1minus,frozenset({'K22906'})
R02903,map_rn2ko_viaEC_1minus,frozenset({'K00909'})
R02907,map_rn2ko_viaEC_1minus,frozenset({'K17740'})
R02943,map_rn2ko_viaEC_1minus,frozenset({'K14130'})
R02950,map_rn2ko_viaEC_1minus,frozenset({'K00505'})
R02996,map_rn2ko_viaEC_1minus,frozenset({'K01023'})
R02999,map_rn2ko_viaEC_1minus,frozenset({'K14618'})
R03003,map_rn2ko_viaEC_1minus,frozenset({'K00590'})
R03020,map_rn2ko_viaEC_1minus,frozenset({'K06173'})
R03056,map_rn2ko_viaEC_1minus,frozenset({'K17840'})
R03080,map_rn2ko_viaEC_1minus,frozenset({'K00048'})
R03094,map_rn2ko_viaEC_1minus,frozenset({'K13692'})
R03095,map_rn2ko_viaEC_1minus,frozenset({'K03397'})
R03125,map_rn2ko_viaEC_1minus,frozenset({'K13083'})
R03137,map_rn2ko_viaEC_1minus,frozenset({'K18053'})
