rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R01417,https://www.genome.jp/entry/R01417,2.7.3.10,,1,0,,
R01418,https://www.genome.jp/entry/R01418,3.5.3.20,,1,0,,
R01420,https://www.genome.jp/entry/R01420,1.2.1.7,,1,0,,
R01423,https://www.genome.jp/entry/R01423,3.6.1.20,,1,0,,
R01425,https://www.genome.jp/entry/R01425,3.5.1.40,,1,0,,
R01437,https://www.genome.jp/entry/R01437,4.1.1.14,,1,0,,
R01441,https://www.genome.jp/entry/R01441,2.7.1.85,K18673,1,1,,
R01442,https://www.genome.jp/entry/R01442,1.1.99.18,K19069,1,1,,
R01443,https://www.genome.jp/entry/R01443,1.1.99.18,K19069,1,1,,
R01444,https://www.genome.jp/entry/R01444,3.2.1.74,,1,0,,
R01447,https://www.genome.jp/entry/R01447,1.1.99.7,,1,0,,
R01448,https://www.genome.jp/entry/R01448,3.1.6.17,,1,0,,
R01460,https://www.genome.jp/entry/R01460,3.2.1.104,,1,0,,
R01467,https://www.genome.jp/entry/R01467,5.1.1.6,,1,0,,
R01469,https://www.genome.jp/entry/R01469,1.4.3.8,,1,0,,
R01471,https://www.genome.jp/entry/R01471,2.7.7.11;2.7.7.64,K12447,2,1,,
R01472,https://www.genome.jp/entry/R01472,2.4.2.32,,1,0,,
R01480,https://www.genome.jp/entry/R01480,3.2.1.139,K01235,1,1,,
R01483,https://www.genome.jp/entry/R01483,3.1.1.19,,1,0,,
R01484,https://www.genome.jp/entry/R01484,3.1.1.19,,1,0,,
R01485,https://www.genome.jp/entry/R01485,2.3.2.7,,1,0,,
R01486,https://www.genome.jp/entry/R01486,1.2.1.29,,1,0,,
R01487,https://www.genome.jp/entry/R01487,1.1.1.90,K00055,1,1,,
R01488,https://www.genome.jp/entry/R01488,1.1.1.91,K05882,1,1,,
R01489,https://www.genome.jp/entry/R01489,1.2.3.9,,1,0,,
R01490,https://www.genome.jp/entry/R01490,1.2.1.30,,1,0,,
R01491,https://www.genome.jp/entry/R01491,1.1.3.7,,1,0,,
R01501,https://www.genome.jp/entry/R01501,3.2.1.62,K01229,1,1,,
R01504,https://www.genome.jp/entry/R01504,2.7.7.58,K02363,1,1,,
R01506,https://www.genome.jp/entry/R01506,1.13.11.28,,1,0,,
R01508,https://www.genome.jp/entry/R01508,1.14.99.23,,1,0,,
R01511,https://www.genome.jp/entry/R01511,3.1.3.38,,1,0,,
R01517,https://www.genome.jp/entry/R01517,2.7.2.10,,1,0,,
R01533,https://www.genome.jp/entry/R01533,3.1.8.2,,1,0,,
R01535,https://www.genome.jp/entry/R01535,2.7.8.6,K00996,1,1,,
R01543,https://www.genome.jp/entry/R01543,1.1.1.126,,1,0,,
R01556,https://www.genome.jp/entry/R01556,2.3.1.79,K00661,1,1,,
R01559,https://www.genome.jp/entry/R01559,2.8.3.2,,1,0,,
R01568,https://www.genome.jp/entry/R01568,2.7.1.118,,1,0,,
R01571,https://www.genome.jp/entry/R01571,2.7.1.114,,1,0,,
R01573,https://www.genome.jp/entry/R01573,2.7.1.54,,1,0,,
R01576,https://www.genome.jp/entry/R01576,4.1.2.23,,1,0,,
R01580,https://www.genome.jp/entry/R01580,2.6.1.54,,1,0,,
R01581,https://www.genome.jp/entry/R01581,3.5.1.82,K01461,1,1,,
R01584,https://www.genome.jp/entry/R01584,1.4.1.17,,1,0,,
R01585,https://www.genome.jp/entry/R01585,6.3.4.12,K01949,1,1,,
R01587,https://www.genome.jp/entry/R01587,3.5.1.36,,1,0,,
R01589,https://www.genome.jp/entry/R01589,3.5.3.16,,1,0,,
R01594,https://www.genome.jp/entry/R01594,1.13.11.40,,1,0,,
R01598,https://www.genome.jp/entry/R01598,6.2.1.15,,1,0,,
R01604,https://www.genome.jp/entry/R01604,1.2.1.15,,1,0,,
R01607,https://www.genome.jp/entry/R01607,1.2.1.15,,1,0,,
R01609,https://www.genome.jp/entry/R01609,1.7.3.5,,1,0,,
R01611,https://www.genome.jp/entry/R01611,4.2.1.27,,1,0,,
R01619,https://www.genome.jp/entry/R01619,2.7.7.51,,1,0,,
R01629,https://www.genome.jp/entry/R01629,1.14.13.64,,1,0,,
R01630,https://www.genome.jp/entry/R01630,1.14.13.64,,1,0,,
